project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.analyte_id	analytes.submitter_id	aliquots.aliquot_id	aliquots.aliquot_quantity	aliquots.aliquot_volume	aliquots.amount	aliquots.analyte_type	aliquots.analyte_type_id	aliquots.concentration	aliquots.no_matched_normal_low_pass_wgs	aliquots.no_matched_normal_targeted_sequencing	aliquots.no_matched_normal_wgs	aliquots.no_matched_normal_wxs	aliquots.selected_normal_low_pass_wgs	aliquots.selected_normal_targeted_sequencing	aliquots.selected_normal_wgs	aliquots.selected_normal_wxs	aliquots.source_center	aliquots.state	aliquots.submitter_id
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	2db4d490-168d-4b9c-997c-f21ecdf70061	TCGA-21-1077-01A-01R	a80c9de4-3d81-4b05-a26a-285e9bbbfafa	2.0	13.3	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released	TCGA-21-1077-01A-01R-0692-07
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	2db4d490-168d-4b9c-997c-f21ecdf70061	TCGA-21-1077-01A-01R	be28f2b5-63c1-4314-a616-c3e89ebae825	2.51	16.7	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released	TCGA-21-1077-01A-01R-0691-03
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	2db4d490-168d-4b9c-997c-f21ecdf70061	TCGA-21-1077-01A-01R	dae29089-610f-4e5e-bbe9-1443350b5c6d	3.0	20.0	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released	TCGA-21-1077-01A-01R-0690-01
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	7be64da2-9887-445a-a90a-0a736a9133f3	TCGA-21-1077-01A-01W	63706e7a-40f5-439b-9bca-ffa3d80b0649	30.0	60.0	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	22	released	TCGA-21-1077-01A-01W-0783-09
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	7be64da2-9887-445a-a90a-0a736a9133f3	TCGA-21-1077-01A-01W	9b19b060-9724-485e-a6e0-82ccc04b1e87	30.0	60.0	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	22	released	TCGA-21-1077-01A-01W-0782-08
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	7be64da2-9887-445a-a90a-0a736a9133f3	TCGA-21-1077-01A-01W	ef803ebe-1c26-4116-bb68-1987617652d0	30.0	60.0	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	22	released	TCGA-21-1077-01A-01W-0781-10
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	ae2b4cb9-46b0-487d-9431-fc420fc6bb63	TCGA-21-1077-01A-01D	0f5b733a-eed0-4de3-b90b-11c32b02a5f9	0.87	6.7	'--	'--	'--	0.13	'--	'--	'--	'--	'--	'--	'--	'--	22	released	TCGA-21-1077-01A-01D-0685-01
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	ae2b4cb9-46b0-487d-9431-fc420fc6bb63	TCGA-21-1077-01A-01D	3f779244-e3f9-43d6-bc18-442309088664	1.73	13.3	'--	'--	'--	0.13	'--	'--	'--	'--	'--	'--	'--	'--	22	released	TCGA-21-1077-01A-01D-0689-05
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	ae2b4cb9-46b0-487d-9431-fc420fc6bb63	TCGA-21-1077-01A-01D	42b77d4b-17e1-4f63-b49d-8b68338b7599	2.6	20.0	'--	'--	'--	0.13	'--	'--	'--	'--	'--	'--	'--	'--	22	released	TCGA-21-1077-01A-01D-0688-02
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	ae2b4cb9-46b0-487d-9431-fc420fc6bb63	TCGA-21-1077-01A-01D	a71d74cb-5b10-4787-a654-7049cbb49a92	2.0	40.0	'--	'--	'--	0.05	'--	'--	'--	'--	'--	'--	'--	'--	22	released	TCGA-21-1077-01A-01D-1521-08
