project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_type_id	analytes.analyte_volume	analytes.concentration	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_16s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	1.7	'--	2db4d490-168d-4b9c-997c-f21ecdf70061	'--	RNA	'--	'--	0.15	Allprep RNA Extraction	Yes	2.4	8.9	UV Spec	released	TCGA-21-1077-01A-01R	'--
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	'--	'--	7be64da2-9887-445a-a90a-0a736a9133f3	'--	Repli-G (Qiagen) DNA	'--	'--	0.5	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-21-1077-01A-01W	'--
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	1.9	'--	ae2b4cb9-46b0-487d-9431-fc420fc6bb63	'--	DNA	'--	'--	0.13	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	TCGA-21-1077-01A-01D	'--
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	17cc65cf-816c-4656-b2bf-e9889fe4c5e7	TCGA-21-1077-01A	7a8b9931-9777-4f3d-8cc6-d650d9226b5f	TCGA-21-1077-01A-01	'--	'--	e145296d-d9dc-486e-b7c7-ed55041f5cd4	'--	Total RNA	'--	'--	0.1	Total RNA	Yes	1.09	7.5	UV Spec	released	TCGA-21-1077-01A-01T	'--
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	bcad837f-4a4e-4af9-a52e-b6e9be5ccd48	TCGA-21-1077-11A	1168e8ac-be4c-4796-851a-1f38523f926a	TCGA-21-1077-11A-01	'--	'--	9b089bb5-de47-4b06-aaa5-87a49ee9e806	'--	Repli-G (Qiagen) DNA	'--	'--	0.5	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-21-1077-11A-01W	'--
TCGA-LUSC	f516991c-5139-4b3e-b605-5a3d90688209	TCGA-21-1077	bcad837f-4a4e-4af9-a52e-b6e9be5ccd48	TCGA-21-1077-11A	1168e8ac-be4c-4796-851a-1f38523f926a	TCGA-21-1077-11A-01	1.6	'--	ccca680d-32ba-40b0-9536-1422752309c7	'--	DNA	'--	'--	0.15	Chemical Lysis DNA Extraction	Yes	'--	'--	UV Spec	released	TCGA-21-1077-11A-01D	'--
TCGA-SKCM	e653f888-37cf-41d5-a1cf-45397c90b31d	TCGA-EE-A2MG	457f41a3-e268-4cf9-9585-fd2a87b9f683	TCGA-EE-A2MG-10A	a085f66c-786b-4957-8997-5d1c0a151dc7	TCGA-EE-A2MG-10A-01	'--	'--	79749a90-33a5-4e3f-8dfe-7cdffa02641a	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-EE-A2MG-10A-01W	'--
TCGA-SKCM	e653f888-37cf-41d5-a1cf-45397c90b31d	TCGA-EE-A2MG	457f41a3-e268-4cf9-9585-fd2a87b9f683	TCGA-EE-A2MG-10A	a085f66c-786b-4957-8997-5d1c0a151dc7	TCGA-EE-A2MG-10A-01	'--	'--	8c4809a9-5f26-4f7f-beea-7d3020a99faf	'--	DNA	'--	'--	0.15	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-EE-A2MG-10A-01D	'--
TCGA-SKCM	e653f888-37cf-41d5-a1cf-45397c90b31d	TCGA-EE-A2MG	f68d55b0-001d-460d-9eb8-81b2aa26a909	TCGA-EE-A2MG-06A	6a309854-90d5-4834-95e9-3c035bb84fd6	TCGA-EE-A2MG-06A-11	'--	'--	34a0ac4a-ea1f-4f71-8022-ab75ddb76a36	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-EE-A2MG-06A-11W	'--
TCGA-SKCM	e653f888-37cf-41d5-a1cf-45397c90b31d	TCGA-EE-A2MG	f68d55b0-001d-460d-9eb8-81b2aa26a909	TCGA-EE-A2MG-06A	6a309854-90d5-4834-95e9-3c035bb84fd6	TCGA-EE-A2MG-06A-11	1.82	'--	672d7854-6644-4354-95f3-4227239843ec	'--	RNA	'--	'--	0.16	nRNA - Melanoma Protocol	Yes	1.1	7.0	UV Spec	released	TCGA-EE-A2MG-06A-11R	'--
