CANCER_TYPE_DETAILED,count
Non-Small Cell Lung Cancer,7948
Colorectal Adenocarcinoma,6036
Breast Invasive Ductal Carcinoma,5119
Prostate Adenocarcinoma,3019
Pancreatic Adenocarcinoma,2818
Hepatocellular Carcinoma,1733
Gastric Adenocarcinoma,1316
Cholangiocarcinoma,835
Serous Ovarian Cancer,808
Head and Neck Squamous Cell Carcinoma,763
"Breast Invasive Carcinoma, NOS",743
Renal Clear Cell Carcinoma,725
Bladder Urothelial Carcinoma,704
Breast Invasive Lobular Carcinoma,699
Esophageal Squamous Cell Carcinoma,659
Thyroid Carcinoma,559
Glioblastoma Multiforme,550
Uterine Endometrioid Carcinoma,450
Astrocytoma,445
Medulloblastoma,411
Small Cell Lung Cancer,347
Cervical Squamous Cell Carcinoma,331
Papillary Renal Cell Carcinoma,324
Breast Mixed Ductal and Lobular Carcinoma,308
Melanoma,286
Adenoid Cystic Carcinoma,272
Pancreatic Neuroendocrine Tumor,244
Acute Myeloid Leukemia,243
Oligodendroglioma,233
Esophageal Adenocarcinoma,196
Osteosarcoma,195
"Lung Neuroendocrine Tumor, Other",184
Gallbladder Adenocarcinoma,169
Pheochromocytoma,147
Leiomyosarcoma,141
Oligoastrocytoma,140
Thymoma,138
Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma,128
"Glioma, Other",122
Chromophobe Renal Cell Carcinoma,113
Solitary Fibrous Tumor/Hemangiopericytoma,101
Total,40702
