"","studyId","Count of distinct individuals"
"1","msk_chord_2024",7587
"2","pan_origimed_2020",4604
"3","brca_metabric",844
"4","pancan_pcawg_2020",821
"5","lusc_tcga_pan_can_atlas_2018",379
"6","ov_tcga_pan_can_atlas_2018",363
"7","brca_tcga_pan_can_atlas_2018",341
"8","coadread_tcga_pan_can_atlas_2018",296
"9","hnsc_tcga_pan_can_atlas_2018",279
"10","luad_tcga_pan_can_atlas_2018",277
"11","paad_qcmg_uq_2016",216
"12","stad_tcga_pan_can_atlas_2018",203
"13","lgg_tcga_pan_can_atlas_2018",179
"14","ucec_tcga_pan_can_atlas_2018",173
"15","blca_tcga_pan_can_atlas_2018",170
"16","esca_tcga_pan_can_atlas_2018",137
"17","coad_silu_2022",112
"18","lihc_tcga_pan_can_atlas_2018",108
"19","paad_tcga_pan_can_atlas_2018",107
"20","gbm_tcga_pan_can_atlas_2018",98
"21","sclc_ucologne_2015",95
"22","brca_smc_2018",89
"23","sarc_tcga_pan_can_atlas_2018",82
"24","difg_glass_2019",72
"25","pediatric_dkfz_2017",70
"26","nsclc_tracerx_2017",58
"27","coadread_mskcc",54
"28","prad_tcga_pan_can_atlas_2018",54
"29","blca_mskcc_solit_2014",50
"30","ucs_tcga_pan_can_atlas_2018",47
"31","hnsc_broad",43
"32","sclc_jhu",24
"33","blca_bgi",23
"34","cesc_tcga_pan_can_atlas_2018",20
"35","acc_tcga_pan_can_atlas_2018",16
"36","kich_tcga_pan_can_atlas_2018",16
"37","lgg_ucsf_2014",16
"38","cscc_hgsc_bcm_2014",15
"39","meso_tcga_pan_can_atlas_2018",14
"40","blca_cornell_2016",13
"41","coad_caseccc_2015",12
"42","laml_tcga_pan_can_atlas_2018",12
"43","kirc_tcga_pan_can_atlas_2018",11
"44","skcm_tcga_pan_can_atlas_2018",8
"45","prad_fhcrc",7
"46","sft_sysucc_2023",7
"47","acc_2019",6
"48","kirp_tcga_pan_can_atlas_2018",6
"49","dlbc_tcga_pan_can_atlas_2018",5
"50","sclc_cancercell_gardner_2017",5
"51","brca_mskcc_2019",4
"52","glioma_msk_2018",4
"53","prad_mich",4
"54","thym_tcga_pan_can_atlas_2018",4
"55","acyc_mskcc_2013",3
"56","chol_tcga_pan_can_atlas_2018",3
"57","lung_smc_2016",3
"58","mbl_broad_2012",3
"59","skcm_yale",3
"60","bladder_columbia_msk_2018",2
"61","thca_tcga_pan_can_atlas_2018",2
"62","es_dfarber_broad_2014",1
"63","pcpg_tcga_pan_can_atlas_2018",1
"64","prad_msk_2019",1
"65","prad_mskcc",1
"66","skcm_vanderbilt_mskcc_2015",1
"67","tgct_tcga_pan_can_atlas_2018",1
"68","Total",18277
